news_index,subject,subject_keywords,object,object_keywords,action,action_verb,action_tense,action_normalized,sentence
1,WASHINGTON Congressional Republicans,[{'text': 'WASHINGTON Congressional Republicans'}],a new fear,[{'text': 'new fear'}],have,have,present,have,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,They,NA,The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans,"[{'text': 'incoming Trump administration'}, {'text': 'health insurance subsidies'}, {'text': 'executive branch'}, {'text': 'billions'}]",might win,win,present,might win,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,The incoming Trump administration,[{'text': 'incoming Trump administration'}],the executive branch,[{'text': 'executive branch'}],defend,defend,future,defend,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,the suit,[{'text': 'suit'}],the administrations authority to spend billions of dollars on health insurance subsidies for,"[{'text': 'health insurance subsidies'}, {'text': 'administrations'}, {'text': 'billions'}, {'text': 'dollars'}]",challenges,challenge,present,challenge,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,challenges the administrations,"[{'text': 'administrations'}, {'text': 'challenges'}]",on health insurance subsidies,[{'text': 'health insurance subsidies'}],to spend,spend,future,to spend,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,Americans,[{'text': 'Americans'}],a big victory on issues,"[{'text': 'big victory'}, {'text': 'issues'}]",handing,hand,present,hand,WASHINGTON Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for and Americans handing House Republicans a big victory on issues But a sudden loss of the disputed subsidies could conceivably c
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,the bullet shells,[{'text': 'bullet shells'}],counted the blood,[{'text': 'blood'}],get,get,present,get,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct a
2,crime scenes,[{'text': 'crime scenes'}],cold a band,[{'text': 'band'}],gone,go,past,go,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct a
2,yellow police tape,[{'text': 'yellow police tape'}],NA,NA,blowing,blow,present,blow,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct a
2,urban dysfunction,[{'text': 'urban dysfunction'}],violence,[{'text': 'violence'}],suffers,suffer,present,suffer,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct a
2,the citys,[{'text': 'citys'}],it,NA,to fight,fight,future,to fight,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct a
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Walt Disneys Bambi,"[{'text': 'Walt Disneys'}, {'text': 'Bambi'}]",NA,NA,opened,open,past,open,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,Walt Disneys Bambi opened in 1942 critics,"[{'text': 'Walt Disneys Bambi'}, {'text': 'critics'}]",its spare haunting visual style,"[{'text': 'spare haunting'}, {'text': 'visual style'}]",praised,praise,past,praise,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,Disney,[{'text': 'Disney'}],NA,NA,had done,do,past,have do,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,they,NA,not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation,"[{'text': 'Chinese immigrant artist'}, {'text': 'Song dynasty'}, {'text': 'landscape paintings'}, {'text': 'film animation'}]",did,do,past,do,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,they,NA,that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation,"[{'text': 'Chinese immigrant artist'}, {'text': 'Song dynasty'}, {'text': 'landscape paintings'}, {'text': 'film animation'}]",know,know,past,know,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
